Survey Name RA Dec
LATISS_E6A 00000037 14:46:26.41063516 -45:03:37.55664714
LATISS_E6A 00000038 14:46:58.31610044 -45:03:37.55664714
LATISS_E6A 00000039 14:47:30.22156573 -45:03:37.55664714
LATISS_E6A 00000040 14:48:02.12703102 -45:03:37.55664714
LATISS_E6A 00000041 14:43:17.11431743 -45:09:14.94406867
LATISS_E6A 00000042 14:43:49.07880133 -45:09:14.94406867
LATISS_E6A 00000043 14:44:21.04328524 -45:09:14.94406867
LATISS_E6A 00000044 14:44:53.00776915 -45:09:14.94406867
LATISS_E6A 00000045 14:45:24.97225305 -45:09:14.94406867
LATISS_E6A 00000046 14:45:56.93673696 -45:09:14.94406867
LATISS_E6A 00000047 14:46:28.90122087 -45:09:14.94406867
LATISS_E6A 00000048 14:47:00.86570477 -45:09:14.94406867
LATISS_E6A 00000049 14:47:32.83018868 -45:09:14.94406867
LATISS_E6A 00000050 14:48:04.79467259 -45:09:14.94406867
LATISS_E6A 00000051 14:42:59.62208225 -45:14:52.32775848
LATISS_E6A 00000052 14:43:31.6339385 -45:14:52.32775848
LATISS_E6A 00000053 14:44:03.64579474 -45:14:52.32775848
LATISS_E6A 00000054 14:44:35.65765098 -45:14:52.32775848
LATISS_E6A 00000055 14:45:07.66950722 -45:14:52.32775848
LATISS_E6A 00000056 14:45:39.68136347 -45:14:52.32775848
LATISS_E6A 00000057 14:46:11.69321971 -45:14:52.32775848
LATISS_E6A 00000058 14:46:43.70507595 -45:14:52.32775848
LATISS_E6A 00000059 14:47:15.7169322 -45:14:52.32775848
LATISS_E6A 00000060 14:47:47.72878844 -45:14:52.32775848
LATISS_E6A 00000061 14:43:14.13729128 -45:20:29.7084625
LATISS_E6A 00000062 14:43:46.19666048 -45:20:29.7084625
LATISS_E6A 00000063 14:44:18.25602968 -45:20:29.7084625
LATISS_E6A 00000064 14:44:50.31539889 -45:20:29.7084625
LATISS_E6A 00000065 14:45:22.37476809 -45:20:29.7084625
LATISS_E6A 00000066 14:45:54.43413729 -45:20:29.7084625
LATISS_E6A 00000067 14:46:26.49350649 -45:20:29.7084625
LATISS_E6A 00000068 14:46:58.5528757 -45:20:29.7084625
LATISS_E6A 00000069 14:47:30.6122449 -45:20:29.7084625
LATISS_E6A 00000070 14:48:02.6716141 -45:20:29.7084625
LATISS_E6A 00000071 14:43:16.28252788 -45:26:07.0861784
LATISS_E6A 00000072 14:43:48.40148699 -45:26:07.0861784
LATISS_E6A 00000073 14:44:20.5204461 -45:26:07.0861784
LATISS_E6A 00000074 14:44:52.6394052 -45:26:07.0861784
LATISS_E6A 00000075 14:45:24.75836431 -45:26:07.0861784
LATISS_E6A 00000076 14:45:56.87732342 -45:26:07.0861784
LATISS_E6A 00000077 14:46:28.99628253 -45:26:07.0861784
LATISS_E6A 00000078 14:47:01.11524164 -45:26:07.0861784
LATISS_E6A 00000079 14:47:33.23420074 -45:26:07.0861784
LATISS_E6A 00000080 14:48:05.35315985 -45:26:07.0861784
LATISS_E6A 00000081 14:42:58.70439315 -45:31:44.46014145
LATISS_E6A 00000082 14:43:30.87118392 -45:31:44.46014145
LATISS_E6A 00000083 14:44:03.03797468 -45:31:44.46014145
LATISS_E6A 00000084 14:44:35.20476545 -45:31:44.46014145
LATISS_E6A 00000085 14:45:07.37155622 -45:31:44.46014145
LATISS_E6A 00000086 14:45:39.53834698 -45:31:44.46014145
LATISS_E6A 00000087 14:46:11.70513775 -45:31:44.46014145
LATISS_E6A 00000088 14:46:43.87192852 -45:31:44.46014145
LATISS_E6A 00000089 14:47:16.03871929 -45:31:44.46014145
LATISS_E6A 00000090 14:47:48.20551005 -45:31:44.46014145
LATISS_E6A 00000091 14:43:00.82804924 -45:37:21.83110843
LATISS_E6A 00000092 14:43:33.05483029 -45:37:21.83110843
LATISS_E6A 00000093 14:44:05.28161134 -45:37:21.83110843
LATISS_E6A 00000094 14:44:37.50839239 -45:37:21.83110843
LATISS_E6A 00000095 14:45:09.73517344 -45:37:21.83110843
LATISS_E6A 00000096 14:45:41.96195449 -45:37:21.83110843
LATISS_E6A 00000097 14:46:14.18873555 -45:37:21.83110843
LATISS_E6A 00000098 14:46:46.4155166 -45:37:21.83110843
LATISS_E6A 00000099 14:47:18.64229765 -45:37:21.83110843
LATISS_E6A 00000100 14:47:50.8690787 -45:37:21.83110843
LATISS_E6A 00000101 14:43:15.44265969 -45:42:59.19830703
LATISS_E6A 00000102 14:43:47.71759432 -45:42:59.19830703
LATISS_E6A 00000103 14:44:19.99252895 -45:42:59.19830703
LATISS_E6A 00000104 14:44:52.26746358 -45:42:59.19830703
LATISS_E6A 00000105 14:45:24.54239821 -45:42:59.19830703
LATISS_E6A 00000106 14:45:56.81733284 -45:42:59.19830703
LATISS_E6A 00000107 14:46:29.09226746 -45:42:59.19830703
LATISS_E6A 00000108 14:47:01.36720209 -45:42:59.19830703
LATISS_E6A 00000109 14:47:33.64213672 -45:42:59.19830703
LATISS_E6A 00000110 14:48:05.91707135 -45:42:59.19830703
AUXTEL_DRP_IMAGING SMC_001 00:46:47.52 -73:10:33.60
AUXTEL_DRP_IMAGING SMC_002 00:48:05.64 -73:10:33.60
AUXTEL_DRP_IMAGING SMC_003 00:49:23.76 -73:10:33.60
AUXTEL_DRP_IMAGING SMC_004 00:50:41.88 -73:10:33.60
AUXTEL_DRP_IMAGING SMC_005 00:52:00.00 -73:10:33.60
AUXTEL_DRP_IMAGING SMC_006 00:53:18.12 -73:10:33.60
AUXTEL_DRP_IMAGING SMC_007 00:54:36.24 -73:10:33.60
AUXTEL_DRP_IMAGING SMC_008 00:55:54.36 -73:10:33.60
AUXTEL_DRP_IMAGING SMC_009 00:46:49.21 -73:04:54.97
AUXTEL_DRP_IMAGING SMC_010 00:48:06.91 -73:04:54.97
